client_id,date_inscription,genre,age,type_client,ville,pays,programme_fidelite,nombre_locations_total,revenu_annuel,métier
61,2022-08-11 08:53:58.939411,Femme,26,Particulier,Paris,France,False,3,54390.0,Étudiant
62,2024-01-26 08:53:58.939415,Femme,76,Particulier,Paris,France,False,3,52339.0,Retraité
63,2023-12-06 08:53:58.939420,Homme,37,Professionnel,Lyon,France,False,2,47128.0,Étudiant
64,2022-06-27 08:53:58.939422,Femme,78,Professionnel,Strasbourg,France,True,4,30634.0,Artisan
65,2024-06-29 08:53:58.939424,Femme,55,Professionnel,Paris,France,False,3,26010.0,Retraité
66,2024-07-25 08:53:58.939427,Femme,27,Particulier,Lyon,France,False,3,44644.0,Retraité
67,2022-06-30 08:53:58.939430,Femme,44,Particulier,Paris,France,False,6,,Étudiant
68,2024-04-01 08:53:58.939432,Homme,54,Particulier,Paris,France,False,2,52332.0,Commerçant
69,2023-04-03 08:53:58.939435,Femme,70,Professionnel,Nantes,France,False,9,66880.0,Commerçant
70,2023-11-24 08:53:58.939437,Femme,37,Particulier,Bordeaux,France,False,2,56310.0,Sans emploi
71,2023-04-15 08:53:58.939439,Homme,72,Particulier,Paris,France,False,2,64101.0,Étudiant
72,2023-05-20 08:53:58.939442,Femme,78,Professionnel,Bordeaux,France,False,2,35295.0,Étudiant
73,2023-07-13 08:53:58.939444,Femme,78,Particulier,Nantes,France,False,1,52053.0,Commerçant
74,2023-03-14 08:53:58.939447,Homme,18,Professionnel,Bordeaux,France,False,2,27888.0,Retraité
75,2024-12-04 08:53:58.939449,Femme,72,Particulier,Marseille,France,True,1,54477.0,Cadre
76,2022-12-20 08:53:58.939452,Homme,49,Particulier,Toulouse,France,False,2,51450.0,Étudiant
77,2023-06-14 08:53:58.939454,Femme,25,Particulier,Paris,France,False,3,72577.0,Commerçant
78,2024-07-18 08:53:58.939457,Femme,61,Professionnel,Marseille,France,True,3,,Sans emploi
79,2024-03-15 08:53:58.939459,Femme,50,Particulier,Strasbourg,France,True,4,,Artisan
80,2022-07-20 08:53:58.939462,Homme,31,Particulier,Paris,France,True,1,,Commerçant
81,2022-06-19 08:53:58.939464,Homme,74,Particulier,Paris,France,False,1,73900.0,Sans emploi
82,2024-06-05 08:53:58.939466,Homme,23,Particulier,Lille,France,False,3,49002.0,Retraité
83,2023-07-16 08:53:58.939469,Homme,31,Professionnel,Strasbourg,France,False,1,,Sans emploi
84,2023-01-10 08:53:58.939471,Femme,29,Particulier,Nantes,France,True,9,,Étudiant
85,2022-05-19 08:53:58.939474,Homme,79,Particulier,Paris,France,True,3,72999.0,Étudiant
86,2022-07-07 08:53:58.939476,Homme,67,Particulier,Bordeaux,France,True,2,,Retraité
87,2023-05-05 08:53:58.939479,Homme,53,Particulier,Marseille,France,False,1,20348.0,Inconnu
88,2022-06-20 08:53:58.939481,Homme,76,Professionnel,Marseille,France,False,8,58037.0,Étudiant
89,2024-01-19 08:53:58.939483,Femme,77,Particulier,Bordeaux,France,True,1,,Artisan
90,2023-01-08 08:53:58.939486,Femme,27,Particulier,Paris,France,False,3,62705.0,Cadre
91,2023-02-06 08:53:58.939488,Femme,19,Professionnel,Nice,France,True,2,38031.0,Artisan
92,2024-09-17 08:53:58.939491,Homme,49,Particulier,Bordeaux,France,False,1,59959.0,Artisan
93,2025-01-01 08:53:58.939493,Homme,47,Particulier,Bordeaux,France,True,1,45368.0,Artisan
94,2022-04-23 08:53:58.939495,Femme,32,Professionnel,Lille,France,False,2,22671.0,Commerçant
95,2023-11-06 08:53:58.939498,Femme,54,Particulier,Paris,France,True,2,22665.0,Retraité
96,2024-11-21 08:53:58.939501,Homme,70,Particulier,Strasbourg,France,False,6,22037.0,Sans emploi
97,2023-05-28 08:53:58.939503,Femme,58,Particulier,Lyon,France,False,2,32735.0,Commerçant
98,2022-09-18 08:53:58.939506,Homme,79,Professionnel,Strasbourg,France,False,8,58934.0,Cadre
99,2023-05-13 08:53:58.939508,Femme,34,Particulier,Paris,France,False,3,79255.0,Cadre
100,2024-06-21 08:53:58.939511,Homme,40,Particulier,Toulouse,France,False,2,41000.0,Inconnu
101,2023-08-09 08:53:58.939513,Homme,42,Professionnel,Marseille,France,False,3,38129.0,Étudiant
102,2024-10-05 08:53:58.939528,Femme,52,Particulier,Nice,France,True,2,52608.0,Cadre
103,2023-02-25 08:53:58.939533,Femme,56,Particulier,Toulouse,France,True,4,33051.0,Étudiant
104,2022-07-13 08:53:58.939537,Homme,49,Particulier,Bordeaux,France,True,2,43289.0,Commerçant
105,2022-06-19 08:53:58.939541,Femme,33,Particulier,Nantes,France,False,3,,Retraité
106,2024-08-30 08:53:58.939546,Femme,49,Particulier,Marseille,France,False,1,78671.0,Cadre
107,2023-08-13 08:53:58.939549,Homme,26,Particulier,Paris,France,False,4,33042.0,Commerçant
108,2023-01-28 08:53:58.939554,Femme,37,Particulier,Strasbourg,France,False,3,59206.0,Inconnu
109,2024-02-10 08:53:58.939558,Femme,51,Particulier,Lyon,France,False,1,37860.0,Étudiant
110,2023-03-18 08:53:58.939564,Femme,55,Professionnel,Marseille,France,False,2,74246.0,Artisan
111,2024-08-27 08:53:58.939568,Femme,78,Professionnel,Paris,France,True,4,67567.0,Artisan
112,2022-11-11 08:53:58.939571,Femme,68,Particulier,Nantes,France,False,12,39594.0,Commerçant
113,2024-02-21 08:53:58.939574,Homme,56,Professionnel,Paris,France,False,5,75573.0,Inconnu
114,2023-09-27 08:53:58.939576,Femme,36,Professionnel,Paris,France,True,2,52471.0,Cadre
115,2023-09-04 08:53:58.939579,Femme,45,Particulier,Lille,France,True,5,42512.0,Artisan
116,2023-05-27 08:53:58.939581,Femme,21,Particulier,Bordeaux,France,True,4,52451.0,Étudiant
117,2023-08-10 08:53:58.939584,Femme,57,Particulier,Marseille,France,False,2,61721.0,Inconnu
118,2022-05-16 08:53:58.939586,Femme,67,Particulier,Lyon,France,False,9,27473.0,Inconnu
119,2022-05-03 08:53:58.939589,Homme,46,Particulier,Paris,France,False,2,61426.0,Retraité
120,2024-07-04 08:53:58.939591,Homme,52,Particulier,Nantes,France,True,2,50982.0,Commerçant
121,2022-11-14 08:53:58.939594,Femme,40,Particulier,Bordeaux,France,True,3,,Artisan
122,2022-08-17 08:53:58.939596,Femme,77,Professionnel,Paris,France,True,1,50095.0,Commerçant
123,2024-11-08 08:53:58.939599,Femme,76,Particulier,Paris,France,False,2,40655.0,Artisan
124,2024-11-14 08:53:58.939601,Homme,49,Particulier,Paris,France,False,5,78329.0,Étudiant
125,2023-02-04 08:53:58.939603,Femme,28,Particulier,Paris,France,False,1,44269.0,Étudiant
126,2022-04-07 08:53:58.939605,Femme,24,Particulier,Paris,France,False,4,50290.0,Commerçant
127,2023-11-17 08:53:58.939608,Homme,78,Particulier,Nice,France,False,1,70251.0,Artisan
128,2023-11-25 08:53:58.939612,Femme,29,Particulier,Paris,France,False,1,55857.0,Retraité
129,2023-02-03 08:53:58.939615,Femme,45,Particulier,Paris,France,False,3,31269.0,Artisan
130,2024-01-16 08:53:58.939617,Femme,27,Particulier,Nantes,France,False,4,48312.0,Étudiant
131,2023-05-20 08:53:58.939620,Femme,50,Professionnel,Lyon,France,False,1,45513.0,Commerçant
132,2024-04-16 08:53:58.939622,Femme,46,Particulier,Strasbourg,France,True,1,79381.0,Commerçant
133,2022-10-31 08:53:58.939625,Homme,53,Particulier,Toulouse,France,False,5,,Étudiant
134,2022-04-02 08:53:58.939627,Homme,58,Professionnel,Marseille,France,False,2,21492.0,Cadre
135,2022-04-23 08:53:58.939629,Homme,18,Professionnel,Nantes,France,False,1,21901.0,Commerçant
136,2023-11-26 08:53:58.939632,Femme,48,Professionnel,Nice,France,True,1,,Commerçant
137,2022-07-25 08:53:58.939634,Homme,27,Professionnel,Toulouse,France,True,5,49031.0,Sans emploi
138,2022-11-20 08:53:58.939636,Homme,59,Particulier,Lille,France,False,1,39781.0,Artisan
139,2022-07-10 08:53:58.939639,Femme,26,Professionnel,Toulouse,France,False,3,21300.0,Commerçant
140,2024-10-16 08:53:58.939641,Femme,54,Particulier,Paris,France,False,1,25907.0,Inconnu
141,2022-06-04 08:53:58.939644,Homme,37,Professionnel,Lille,France,True,3,43269.0,Étudiant
142,2022-07-28 08:53:58.939646,Femme,41,Particulier,Lille,France,False,3,37932.0,Inconnu
143,2025-01-01 08:53:58.939649,Femme,21,Professionnel,Paris,France,False,4,69587.0,Retraité
144,2024-02-01 08:53:58.939651,Homme,71,Particulier,Nantes,France,True,3,21272.0,Commerçant
145,2023-04-13 08:53:58.939653,Femme,45,Professionnel,Lyon,France,True,1,34898.0,Artisan
146,2024-02-05 08:53:58.939656,Femme,23,Professionnel,Lille,France,False,3,48095.0,Cadre
147,2024-05-03 08:53:58.939658,Homme,44,Professionnel,Paris,France,False,6,31895.0,Cadre
148,2024-08-27 08:53:58.939661,Homme,59,Particulier,Paris,France,False,2,34682.0,Retraité
149,2022-04-17 08:53:58.939663,Femme,72,Particulier,Lille,France,False,2,,Sans emploi
150,2024-11-29 08:53:58.939666,Homme,42,Professionnel,Nice,France,False,3,36519.0,Sans emploi
151,2024-01-28 08:53:58.939669,Homme,20,Professionnel,Paris,France,True,1,39781.0,Étudiant
152,2023-12-19 08:53:58.939671,Femme,52,Particulier,Lyon,France,False,2,69289.0,Artisan
153,2024-11-06 08:53:58.939673,Femme,58,Particulier,Bordeaux,France,False,6,30560.0,Étudiant
154,2024-04-12 08:53:58.939676,Femme,32,Particulier,Lille,France,True,3,47851.0,Sans emploi
155,2024-08-17 08:53:58.939678,Femme,31,Professionnel,Bordeaux,France,False,2,38890.0,Artisan
156,2022-06-23 08:53:58.939681,Homme,47,Particulier,Strasbourg,France,True,2,39350.0,Inconnu
157,2025-01-03 08:53:58.939683,Femme,35,Professionnel,Toulouse,France,True,2,30404.0,Sans emploi
158,2024-01-09 08:53:58.939686,Homme,33,Professionnel,Nantes,France,False,5,49840.0,Cadre
159,2024-10-06 08:53:58.939688,Homme,44,Professionnel,Paris,France,False,5,76200.0,Commerçant
160,2023-11-13 08:53:58.939691,Femme,44,Particulier,Paris,France,False,4,25248.0,Artisan
161,2022-07-16 08:53:58.939693,Femme,69,Particulier,Lille,France,False,2,55633.0,Retraité
162,2023-09-22 08:53:58.939695,Femme,53,Particulier,Paris,France,False,1,25246.0,Artisan
163,2023-02-03 08:53:58.939698,Homme,47,Particulier,Nice,France,True,2,44150.0,Sans emploi
164,2022-07-12 08:53:58.939700,Femme,26,Professionnel,Toulouse,France,False,9,32128.0,Retraité
165,2022-11-21 08:53:58.939702,Homme,18,Particulier,Paris,France,False,6,58238.0,Cadre
166,2022-07-08 08:53:58.939705,Femme,78,Professionnel,Paris,France,False,3,52729.0,Cadre
167,2023-06-21 08:53:58.939707,Autre,39,Particulier,Toulouse,France,False,2,33809.0,Retraité
168,2023-10-23 08:53:58.939710,Femme,29,Particulier,Lille,France,False,1,45719.0,Artisan
169,2024-01-12 08:53:58.939712,Homme,62,Particulier,Paris,France,False,14,44691.0,Commerçant
170,2024-02-17 08:53:58.939715,Femme,54,Particulier,Strasbourg,France,False,3,66372.0,Commerçant
171,2024-08-08 08:53:58.939719,Homme,21,Particulier,Bordeaux,France,True,1,64632.0,Retraité
172,2023-01-22 08:53:58.939723,Homme,20,Particulier,Bordeaux,France,True,2,77424.0,Artisan
173,2023-08-18 08:53:58.939727,Femme,29,Particulier,Paris,France,False,2,50406.0,Étudiant
174,2022-08-12 08:53:58.939771,Homme,56,Particulier,Lille,France,False,1,79703.0,Commerçant
175,2024-05-26 08:53:58.939778,Homme,39,Particulier,Nantes,France,False,1,66055.0,Retraité
176,2022-03-16 08:53:58.939782,Femme,55,Particulier,Marseille,France,False,1,54787.0,Étudiant
177,2024-12-10 08:53:58.939788,Homme,38,Particulier,Lyon,France,False,10,20502.0,Cadre
178,2022-11-27 08:53:58.939792,Homme,73,Particulier,Bordeaux,France,True,4,62177.0,Retraité
179,2024-11-09 08:53:58.939796,Femme,33,Particulier,Toulouse,France,False,1,72225.0,Sans emploi
180,2024-11-21 08:53:58.939801,Homme,44,Particulier,Paris,France,False,4,53392.0,Artisan
181,2025-01-16 08:53:58.939805,Homme,61,Particulier,Nice,France,False,8,67168.0,Commerçant
182,2022-10-17 08:53:58.939809,Homme,50,Particulier,Bordeaux,France,False,4,45002.0,Sans emploi
183,2023-09-29 08:53:58.939813,Femme,58,Professionnel,Lyon,France,False,4,,Cadre
184,2023-05-04 08:53:58.939818,Femme,63,Particulier,Nantes,France,False,3,63100.0,Artisan
185,2024-10-28 08:53:58.939822,Femme,37,Particulier,Marseille,France,False,1,58268.0,Sans emploi
186,2024-06-20 08:53:58.939827,Homme,49,Particulier,Nice,France,False,5,43378.0,Commerçant
187,2023-12-12 08:53:58.939831,Homme,52,Professionnel,Nice,France,True,5,72717.0,Commerçant
188,2023-09-10 08:53:58.939835,Femme,23,Particulier,Nice,France,False,1,43641.0,Retraité
189,2023-09-18 08:53:58.939840,Homme,26,Particulier,Lyon,France,False,1,74587.0,Inconnu
190,2023-09-14 08:53:58.939844,Homme,25,Particulier,Bordeaux,France,False,2,48818.0,Cadre
191,2023-08-27 08:53:58.939848,Homme,30,Professionnel,Nantes,France,True,5,20148.0,Artisan
192,2022-11-09 08:53:58.939853,Homme,22,Particulier,Bordeaux,France,True,6,23078.0,Artisan
193,2022-08-31 08:53:58.939856,Homme,56,Professionnel,Lyon,France,True,2,79866.0,Cadre
194,2022-05-14 08:53:58.939859,Homme,51,Particulier,Marseille,France,True,1,55575.0,Commerçant
195,2022-08-31 08:53:58.939862,Femme,39,Particulier,Bordeaux,France,False,6,26738.0,Commerçant
196,2022-04-23 08:53:58.939864,Femme,68,Particulier,Paris,France,True,2,,Sans emploi
197,2024-03-03 08:53:58.939868,Homme,65,Professionnel,Lyon,France,False,1,59590.0,Cadre
198,2023-06-09 08:53:58.939872,Homme,45,Particulier,Toulouse,France,True,3,62611.0,Commerçant
199,2023-03-29 08:53:58.939877,Femme,20,Particulier,Paris,France,True,1,60293.0,Cadre
200,2023-06-08 08:53:58.939881,Homme,72,Particulier,Toulouse,France,False,1,43011.0,Artisan
201,2024-04-11 08:53:58.939885,Femme,56,Particulier,Paris,France,True,1,71274.0,Inconnu
202,2023-08-15 08:53:58.939892,Homme,30,Particulier,Bordeaux,France,False,5,49676.0,Commerçant
203,2023-07-09 08:53:58.939897,Femme,78,Particulier,Paris,France,False,2,,Cadre
204,2022-07-30 08:53:58.939900,Homme,20,Particulier,Toulouse,France,False,5,37030.0,Cadre
205,2023-05-13 08:53:58.939903,Homme,36,Particulier,Paris,France,False,2,46916.0,Commerçant
206,2024-12-25 08:53:58.939905,Femme,27,Particulier,Lyon,France,False,2,70219.0,Commerçant
207,2023-10-24 08:53:58.939909,Homme,30,Particulier,Paris,France,False,1,23778.0,Sans emploi
208,2023-10-06 08:53:58.939914,Femme,46,Professionnel,Toulouse,France,True,1,75636.0,Commerçant
209,2022-08-25 08:53:58.939918,Femme,60,Particulier,Paris,France,False,3,55431.0,Cadre
210,2022-09-28 08:53:58.939922,Femme,75,Particulier,Bordeaux,France,False,2,,Inconnu
211,2024-10-26 08:53:58.939927,Femme,34,Particulier,Lille,France,False,1,73426.0,Artisan
212,2023-02-22 08:53:58.939931,Homme,35,Particulier,Toulouse,France,True,1,41915.0,Commerçant
213,2024-10-28 08:53:58.939934,Homme,26,Professionnel,Marseille,France,True,2,69784.0,Étudiant
214,2024-02-01 08:53:58.939936,Femme,55,Particulier,Paris,France,True,8,32442.0,Inconnu
215,2024-09-05 08:53:58.939939,Homme,25,Particulier,Toulouse,France,False,3,58889.0,Sans emploi
216,2022-09-05 08:53:58.939943,Femme,68,Particulier,Paris,France,False,4,24852.0,Commerçant
217,2023-08-06 08:53:58.939947,Femme,72,Particulier,Toulouse,France,False,1,78154.0,Cadre
218,2024-07-23 08:53:58.939951,Homme,54,Professionnel,Paris,France,True,3,29004.0,Cadre
219,2024-09-09 08:53:58.939955,Femme,34,Particulier,Lyon,France,False,2,28673.0,Artisan
220,2022-04-03 08:53:58.939960,Femme,44,Professionnel,Toulouse,France,False,3,53534.0,Inconnu
221,2024-05-07 08:53:58.939964,Homme,36,Professionnel,Bordeaux,France,False,1,22703.0,Cadre
222,2023-03-21 08:53:58.939966,Femme,40,Particulier,Lille,France,False,5,66761.0,Cadre
223,2024-07-02 08:53:58.939969,Homme,55,Professionnel,Paris,France,True,2,66902.0,Cadre
224,2022-05-16 08:53:58.939971,Homme,24,Particulier,Marseille,France,False,1,75060.0,Cadre
225,2023-04-06 08:53:58.939974,Homme,54,Professionnel,Nice,France,False,4,59105.0,Retraité
226,2022-10-17 08:53:58.939976,Homme,75,Professionnel,Nantes,France,False,1,67350.0,Artisan
227,2024-05-14 08:53:58.939979,Homme,33,Particulier,Bordeaux,France,False,7,,Artisan
228,2024-06-30 08:53:58.939981,Femme,63,Particulier,Paris,France,False,4,26915.0,Inconnu
229,2022-12-06 08:53:58.939983,Homme,42,Particulier,Marseille,France,False,4,33652.0,Commerçant
230,2025-01-20 08:53:58.939986,Homme,66,Professionnel,Paris,France,False,7,41059.0,Commerçant
231,2024-03-06 08:53:58.939988,Homme,42,Particulier,Paris,France,False,5,39618.0,Cadre
232,2023-01-13 08:53:58.939992,Femme,67,Particulier,Toulouse,France,False,2,57102.0,Étudiant
233,2023-12-13 08:53:58.939996,Homme,79,Particulier,Paris,France,False,3,,Commerçant
234,2022-08-12 08:53:58.940001,Femme,56,Particulier,Nice,France,True,1,65054.0,Inconnu
235,2024-10-12 08:53:58.940006,Femme,54,Professionnel,Nantes,France,False,1,49811.0,Artisan
236,2024-07-06 08:53:58.940010,Homme,39,Particulier,Lille,France,True,3,31450.0,Commerçant
237,2023-07-29 08:53:58.940014,Homme,22,Particulier,Toulouse,France,False,3,43958.0,Artisan
238,2024-07-11 08:53:58.940018,Femme,50,Particulier,Paris,France,True,2,70785.0,Artisan
239,2022-09-27 08:53:58.940022,Femme,35,Particulier,Paris,France,False,4,38995.0,Retraité
240,2022-12-07 08:53:58.940027,Homme,62,Particulier,Toulouse,France,False,1,63954.0,Cadre
241,2023-03-23 08:53:58.940031,Homme,76,Particulier,Paris,France,False,3,57471.0,Artisan
242,2023-07-10 08:53:58.940033,Femme,55,Professionnel,Paris,France,True,3,50763.0,Cadre
243,2024-03-15 08:53:58.940036,Femme,47,Particulier,Toulouse,France,True,3,64521.0,Sans emploi
244,2023-11-29 08:53:58.940039,Homme,53,Particulier,Toulouse,France,False,6,79036.0,Commerçant
245,2022-05-17 08:53:58.940042,Femme,22,Particulier,Lille,France,False,4,69944.0,Retraité
246,2023-07-17 08:53:58.940044,Homme,21,Particulier,Strasbourg,France,False,2,57567.0,Cadre
247,2022-07-14 08:53:58.940046,Homme,65,Particulier,Paris,France,False,2,40865.0,Artisan
248,2024-06-16 08:53:58.940049,Homme,41,Particulier,Paris,France,True,1,39038.0,Étudiant
249,2022-03-16 08:53:58.940051,Homme,45,Particulier,Paris,France,True,2,63319.0,Commerçant
250,2024-09-09 08:53:58.940054,Femme,37,Particulier,Lille,France,True,2,51276.0,Retraité
251,2024-01-27 08:53:58.940056,Homme,60,Particulier,Paris,France,True,3,43730.0,Retraité
252,2022-12-01 08:53:58.940059,Femme,33,Particulier,Nantes,France,True,5,63118.0,Commerçant
253,2022-12-06 08:53:58.940061,Homme,47,Particulier,Nantes,France,False,3,66834.0,Inconnu
254,2023-10-01 08:53:58.940063,Femme,31,Professionnel,Nice,France,False,2,75240.0,Commerçant
255,2022-08-08 08:53:58.940067,Homme,65,Particulier,Nice,France,False,2,30974.0,Cadre
256,2022-06-06 08:53:58.940069,Femme,74,Particulier,Toulouse,France,False,3,73056.0,Commerçant
257,2023-02-10 08:53:58.940071,Homme,78,Professionnel,Lyon,France,False,6,45042.0,Cadre
258,2024-10-02 08:53:58.940074,Homme,70,Particulier,Nantes,France,True,1,33792.0,Cadre
259,2023-06-06 08:53:58.940077,Homme,24,Particulier,Paris,France,False,4,20171.0,Artisan
260,2024-05-03 08:53:58.940079,Homme,56,Particulier,Paris,France,True,3,,Artisan
261,2022-09-25 08:53:58.940082,Femme,59,Professionnel,Nice,France,False,2,34419.0,Commerçant
262,2024-08-24 08:53:58.940084,Homme,56,Particulier,Paris,France,False,2,29989.0,Inconnu
263,2024-12-11 08:53:58.940087,Femme,29,Particulier,Paris,France,True,2,62805.0,Retraité
264,2024-02-06 08:53:58.940089,Homme,45,Particulier,Paris,France,False,3,59034.0,Inconnu
265,2024-01-06 08:53:58.940092,Homme,19,Particulier,Paris,France,False,3,76004.0,Retraité
266,2024-07-18 08:53:58.940094,Femme,25,Professionnel,Lyon,France,False,3,31829.0,Commerçant
267,2022-11-15 08:53:58.940097,Femme,61,Particulier,Marseille,France,False,2,72400.0,Inconnu
268,2024-04-13 08:53:58.940099,Femme,34,Particulier,Lyon,France,False,2,76792.0,Commerçant
269,2023-09-02 08:53:58.940102,Homme,36,Particulier,Nice,France,False,1,27439.0,Inconnu
270,2023-09-16 08:53:58.940104,Homme,20,Particulier,Toulouse,France,True,1,,Cadre
271,2023-06-03 08:53:58.940107,Femme,65,Particulier,Bordeaux,France,False,5,,Inconnu
272,2025-01-21 08:53:58.940109,Femme,19,Professionnel,Strasbourg,France,False,1,25134.0,Commerçant
273,2024-10-25 08:53:58.940112,Femme,38,Professionnel,Bordeaux,France,False,3,65789.0,Étudiant
274,2023-02-06 08:53:58.940114,Homme,55,Particulier,Lyon,France,True,3,38577.0,Commerçant
