location_id,client_id,date_location,duree_location,type_vehicule,type_carburant,lieu_location,kilométrage,prix_total,remise_appliquee,programme_fidelite_utilise,premiere_location
41,1089,2024-04-28,9,SUV,Électrique,Gare,786.0,638.64,False,True,True
42,4961,2024-09-19,14,Citadine,Hybride,Centre-ville,712.0,746.17,False,False,True
43,4659,2024-11-13,25,Berline,Hybride,Centre-ville,871.0,2481.95,False,False,False
44,4988,2024-08-16,20,SUV,Essence,Centre-ville,119.0,873.6,True,False,False
45,4955,2025-01-29,18,SUV,Hybride,Gare,,1447.25,False,False,False
46,1878,2025-01-04,3,Berline,Hybride,Aéroport,800.0,157.63,False,False,False
47,4241,2024-12-21,17,Utilitaire,Hybride,Gare,671.0,1545.14,False,True,False
48,1654,2024-03-18,2,SUV,Essence,Aéroport,57.0,104.99,False,True,False
49,2620,2024-02-29,12,Citadine,Essence,Centre-ville,408.0,925.82,False,True,False
50,2903,2024-09-15,30,SUV,Diesel,Centre-ville,150.0,3345.21,False,False,False
51,2677,2024-11-03,1,Utilitaire,Diesel,Aéroport,641.0,46.89,False,False,False
52,4098,2024-06-13,16,Berline,Essence,Aéroport,626.0,1807.47,False,False,True
53,2759,2024-04-04,24,SUV,Diesel,Aéroport,317.0,2700.18,True,False,False
54,4110,2024-04-16,26,Berline,Hybride,Centre-ville,677.0,2588.77,False,False,False
55,3354,2024-05-31,22,SUV,Essence,Gare,514.0,1364.37,False,False,False
56,1376,2024-03-14,18,SUV,Hybride,Gare,172.0,1616.0,False,True,False
57,2586,2024-08-01,16,SUV,Essence,Gare,571.0,1646.55,False,False,True
58,1543,2025-02-20,5,Citadine,Hybride,Aéroport,567.0,440.03,False,False,True
59,1048,2024-08-07,4,SUV,Essence,Gare,476.0,276.39,False,False,False
60,494,2024-05-05,8,SUV,Essence,Aéroport,678.0,789.75,False,False,False
61,4293,2024-02-27,26,Berline,Électrique,Centre-ville,938.0,1459.31,False,True,False
62,2478,2025-01-27,8,Citadine,Hybride,Aéroport,63.0,936.73,True,False,False
63,3723,2024-04-15,30,Citadine,Diesel,Aéroport,59.0,969.46,False,False,True
64,628,2024-09-03,4,SUV,Diesel,Aéroport,355.0,252.84,False,False,False
65,1800,2024-09-13,8,SUV,Hybride,Aéroport,891.0,257.52,False,False,True
66,2970,2024-05-14,23,SUV,Essence,Aéroport,207.0,2682.93,False,True,True
67,1662,2024-11-05,30,SUV,Hybride,Centre-ville,322.0,1149.35,False,True,True
68,1477,2024-11-17,4,Citadine,Essence,Centre-ville,590.0,153.5,True,False,True
69,3033,2024-12-25,8,SUV,Diesel,Centre-ville,194.0,382.85,False,False,False
70,708,2024-10-20,2,Citadine,Essence,Gare,699.0,130.63,False,False,False
71,115,2024-03-31,8,SUV,Essence,Gare,529.0,511.58,False,True,False
72,2278,2025-02-13,12,Berline,Diesel,Aéroport,98.0,379.92,False,False,False
73,140,2024-09-15,22,Berline,Diesel,Aéroport,665.0,2408.23,False,False,True
74,1756,2024-10-04,1,Citadine,Hybride,Centre-ville,588.0,99.86,False,True,True
75,677,2024-10-19,12,SUV,Essence,Aéroport,802.0,619.67,True,False,True
76,852,2024-12-05,15,Citadine,Essence,Centre-ville,976.0,1797.74,False,False,True
77,2116,2024-12-08,18,Berline,Essence,Centre-ville,702.0,1458.47,True,False,False
78,2403,2024-06-13,15,Utilitaire,Électrique,Aéroport,346.0,796.95,False,True,True
79,1461,2024-06-14,23,SUV,Électrique,Aéroport,672.0,1196.02,False,False,False
80,2959,2024-10-16,19,Citadine,Électrique,Centre-ville,61.0,2060.03,False,True,False
81,367,2024-12-17,8,Citadine,Essence,Aéroport,769.0,571.73,False,False,False
82,4199,2024-04-12,27,Berline,Hybride,Gare,367.0,849.56,False,True,False
83,4942,2024-10-23,6,Berline,Hybride,Aéroport,626.0,219.11,False,False,False
84,2216,2024-04-09,26,SUV,Essence,Aéroport,862.0,3010.55,False,False,True
85,2207,2024-09-11,3,Berline,Diesel,Aéroport,761.0,243.2,False,False,False
86,3367,2024-09-23,6,Citadine,Essence,Aéroport,938.0,393.32,True,False,False
87,2759,2024-05-06,7,Citadine,Diesel,Aéroport,679.0,480.67,False,False,False
88,3572,2024-03-20,29,Berline,Diesel,Aéroport,745.0,1506.69,False,False,True
89,4729,2024-05-03,28,SUV,Électrique,Gare,844.0,3286.74,False,False,False
90,1008,2024-07-02,28,Citadine,Essence,Centre-ville,669.0,1686.7,True,False,False
91,2177,2024-03-29,27,Citadine,Diesel,Centre-ville,690.0,900.87,False,False,False
92,586,2024-08-08,25,Citadine,Essence,Aéroport,594.0,2325.49,True,False,False
93,755,2024-05-19,2,SUV,Essence,Aéroport,821.0,233.24,False,True,False
94,1704,2024-05-07,4,Citadine,Essence,Aéroport,,191.21,False,True,True
95,1022,2024-05-01,29,Citadine,Essence,Centre-ville,410.0,1004.78,False,False,False
96,4979,2024-06-09,1,Citadine,Diesel,Gare,208.0,98.52,False,True,False
97,1203,2025-01-21,29,Citadine,Essence,Aéroport,483.0,1733.37,False,False,False
98,690,2024-03-10,17,Citadine,Diesel,Aéroport,,1494.11,True,True,True
99,4914,2025-01-19,28,Berline,Diesel,Aéroport,428.0,1592.61,False,False,False
100,1731,2024-04-27,4,SUV,Essence,Gare,618.0,204.57,False,False,False
101,4842,2025-02-01,13,Citadine,Essence,Gare,541.0,810.66,False,False,False
102,3189,2025-01-12,27,Citadine,Diesel,Aéroport,828.0,1520.79,False,False,False
103,1920,2024-05-31,14,Utilitaire,Essence,Aéroport,529.0,1300.31,False,True,True
104,2828,2024-08-26,11,SUV,Essence,Gare,572.0,1056.39,False,True,False
105,2483,2024-11-08,11,Berline,Essence,Gare,486.0,1291.67,False,False,False
106,703,2024-07-12,4,Berline,Diesel,Centre-ville,,331.4,False,True,True
107,1488,2024-03-07,15,SUV,Diesel,Gare,223.0,1626.09,False,False,False
108,3936,2024-07-03,9,SUV,Essence,Centre-ville,664.0,372.66,False,False,True
109,4055,2024-09-09,2,Berline,Essence,Aéroport,986.0,143.99,False,False,False
110,956,2024-06-28,19,SUV,Diesel,Gare,214.0,2189.93,True,False,False
111,1772,2024-11-08,29,SUV,Essence,Aéroport,897.0,1301.64,False,False,False
112,4595,2024-12-12,29,Citadine,Hybride,Gare,459.0,3010.43,False,True,False
113,1552,2024-07-02,21,Citadine,Hybride,Gare,98.0,2374.11,False,False,True
114,792,2024-11-18,25,Berline,Hybride,Aéroport,330.0,1624.11,True,False,False
115,95,2024-11-09,1,SUV,Hybride,Centre-ville,719.0,48.78,False,True,False
116,3511,2024-11-02,21,Utilitaire,Diesel,Centre-ville,698.0,812.2,False,True,False
117,4701,2024-04-04,2,Citadine,Électrique,Gare,445.0,67.72,False,False,True
118,4904,2024-03-31,1,Berline,Essence,Aéroport,534.0,43.81,True,False,True
119,2872,2024-12-27,23,Citadine,Hybride,Centre-ville,,891.59,True,False,True
120,1398,2024-05-16,22,SUV,Diesel,Centre-ville,698.0,1442.1,False,False,True
121,4001,2024-06-22,29,Citadine,Hybride,Aéroport,231.0,2936.68,True,False,False
122,3297,2024-11-10,21,SUV,Diesel,Centre-ville,185.0,2199.79,False,False,False
123,3994,2025-02-23,22,Utilitaire,Diesel,Centre-ville,329.0,2291.13,False,True,False
124,574,2024-03-24,25,Utilitaire,Diesel,Aéroport,683.0,784.45,False,False,False
125,3557,2024-07-06,13,Citadine,Essence,Gare,718.0,1189.84,False,False,False
126,723,2024-03-30,7,Citadine,Essence,Centre-ville,,504.34,False,False,False
127,2666,2024-05-22,19,SUV,Hybride,Aéroport,900.0,917.73,False,True,False
128,1773,2024-03-13,30,SUV,Électrique,Aéroport,842.0,2301.1,False,True,True
129,4540,2025-01-03,30,Citadine,Diesel,Aéroport,352.0,1323.99,False,True,True
130,2330,2024-04-21,29,Berline,Essence,Centre-ville,533.0,2659.82,False,False,False
131,4401,2025-02-08,10,SUV,Essence,Aéroport,197.0,878.6,True,False,False
132,1202,2024-04-20,19,Utilitaire,Hybride,Gare,85.0,1096.2,True,False,True
133,3528,2024-04-13,5,Berline,Électrique,Centre-ville,360.0,211.7,True,False,False
134,4841,2024-05-30,8,SUV,Hybride,Aéroport,505.0,439.01,False,True,False
135,1579,2024-04-26,17,SUV,Diesel,Aéroport,350.0,1816.43,False,False,True
136,4762,2024-09-18,19,Citadine,Diesel,Gare,985.0,1117.16,False,False,False
137,3443,2024-10-17,5,SUV,Essence,Centre-ville,907.0,481.95,False,False,True
138,203,2024-03-07,19,Citadine,Hybride,Centre-ville,951.0,1682.22,False,False,False
139,278,2024-09-28,21,SUV,Diesel,Aéroport,773.0,1005.12,False,False,False
140,483,2025-02-17,18,SUV,Essence,Aéroport,732.0,1898.76,False,True,False
141,784,2024-07-02,29,Citadine,Essence,Gare,620.0,2610.46,False,False,False
142,3994,2024-11-28,14,SUV,Hybride,Gare,494.0,1350.54,False,True,False
143,785,2024-10-04,21,Citadine,Diesel,Aéroport,347.0,696.86,False,False,False
144,4478,2024-04-29,1,Citadine,Essence,Aéroport,146.0,66.54,False,False,False
145,3940,2024-12-23,25,SUV,Diesel,Aéroport,338.0,2876.38,False,False,False
146,2589,2024-06-29,23,Berline,Essence,Centre-ville,53.0,1187.12,False,False,False
147,1976,2024-09-15,27,SUV,Essence,Aéroport,942.0,2274.59,False,True,False
148,2750,2024-09-03,20,SUV,Électrique,Gare,79.0,1757.03,False,False,False
149,3718,2024-08-22,16,Citadine,Hybride,Centre-ville,155.0,811.62,False,False,False
150,3438,2024-06-07,28,Citadine,Hybride,Aéroport,95.0,1501.28,False,False,False
151,4512,2025-02-21,6,Citadine,Diesel,Centre-ville,790.0,377.08,False,False,False
152,3234,2024-03-19,27,Berline,Essence,Aéroport,481.0,1024.02,False,False,False
153,235,2024-05-19,25,Citadine,Essence,Gare,414.0,2898.13,False,False,True
154,1280,2024-05-21,10,SUV,Diesel,Aéroport,,603.41,False,False,False
155,1661,2024-03-30,5,Berline,Diesel,Gare,894.0,580.78,False,False,False
156,1689,2024-12-08,28,Citadine,Électrique,Centre-ville,346.0,3320.88,False,False,True
157,4538,2024-04-16,16,SUV,Essence,Gare,498.0,849.33,False,False,False
158,3110,2024-06-07,4,SUV,Électrique,Aéroport,65.0,203.4,False,False,False
159,1080,2025-01-18,23,Citadine,Hybride,Aéroport,366.0,1263.7,False,False,True
160,2570,2024-09-12,18,Citadine,Hybride,Gare,781.0,1371.7,False,False,False
161,3349,2024-05-12,22,Citadine,Essence,Aéroport,261.0,1170.19,False,False,True
162,1180,2024-08-04,13,Berline,Hybride,Gare,157.0,1025.2,False,False,False
163,2580,2024-11-14,26,SUV,Essence,Aéroport,134.0,2434.74,False,True,False
164,3428,2025-01-21,28,Berline,Diesel,Centre-ville,170.0,1467.58,False,True,False
165,2028,2024-04-13,22,Berline,Diesel,Aéroport,978.0,1303.86,False,False,True
166,3393,2024-11-03,25,Citadine,Essence,Centre-ville,329.0,1378.34,True,True,True
167,3855,2024-08-17,3,Berline,Essence,Centre-ville,168.0,206.27,False,True,False
168,28,2025-01-19,30,Berline,Essence,Gare,990.0,1260.22,False,False,True
169,2684,2024-06-05,17,Berline,Hybride,Centre-ville,71.0,1389.84,False,False,True
170,844,2025-01-15,26,Berline,Essence,Aéroport,795.0,914.55,False,False,False
171,3202,2024-03-21,19,Berline,Diesel,Gare,509.0,876.38,True,True,True
172,4552,2024-06-03,16,Berline,Essence,Aéroport,748.0,1913.54,False,True,False
173,133,2024-10-13,14,SUV,Essence,Gare,171.0,554.56,False,False,False
174,3046,2024-11-07,9,SUV,Électrique,Centre-ville,250.0,877.31,False,False,False
175,4597,2025-01-27,11,Berline,Essence,Gare,497.0,1098.14,False,False,True
176,4220,2024-05-13,26,Citadine,Essence,Aéroport,864.0,2522.55,False,True,True
177,2573,2024-08-21,12,Citadine,Hybride,Aéroport,591.0,1198.69,False,False,True
178,1976,2024-07-31,13,Utilitaire,Essence,Centre-ville,147.0,583.06,False,True,False
179,1965,2024-06-14,5,Utilitaire,Essence,Aéroport,324.0,416.5,False,False,False
180,4016,2025-02-12,6,Citadine,Hybride,Aéroport,422.0,692.93,False,True,False
181,2876,2024-03-29,4,Citadine,Diesel,Centre-ville,931.0,270.55,False,False,False
182,897,2024-09-19,4,Citadine,Diesel,Gare,,178.47,False,False,False
183,3899,2025-01-15,23,Citadine,Hybride,Aéroport,949.0,1681.76,False,True,False
184,3358,2025-02-13,24,SUV,Diesel,Gare,823.0,735.16,False,False,True
185,1043,2024-09-26,7,Citadine,Électrique,Centre-ville,172.0,819.96,False,False,True
186,4801,2024-08-16,17,SUV,Hybride,Gare,902.0,645.07,False,True,True
187,261,2024-09-29,9,Citadine,Diesel,Centre-ville,474.0,744.26,False,False,False
188,4048,2024-07-07,23,SUV,Essence,Gare,532.0,839.16,False,False,False
189,833,2024-09-12,4,Berline,Essence,Aéroport,696.0,243.71,False,False,False
190,323,2024-07-21,30,Citadine,Essence,Gare,712.0,3256.69,False,False,True
191,4629,2024-08-19,29,Citadine,Électrique,Aéroport,103.0,2189.89,False,True,True
192,103,2024-06-22,20,Utilitaire,Essence,Gare,116.0,2064.03,False,True,False
193,4417,2024-07-15,13,SUV,Essence,Centre-ville,904.0,1297.22,False,False,False
194,4373,2024-11-03,26,Utilitaire,Hybride,Gare,,2687.1,True,False,True
195,4498,2024-09-14,1,Citadine,Essence,Aéroport,906.0,84.32,False,True,False
196,1890,2024-04-04,17,Citadine,Électrique,Centre-ville,132.0,771.32,True,False,True
197,2268,2024-08-26,14,SUV,Essence,Centre-ville,,463.86,False,True,True
198,2962,2024-11-08,26,Berline,Essence,Centre-ville,895.0,2443.47,False,True,False
199,1104,2024-09-07,16,Berline,Hybride,Gare,264.0,1812.45,False,False,True
200,2128,2024-12-17,17,Utilitaire,Diesel,Gare,720.0,964.64,False,True,True
201,2315,2024-10-06,28,Citadine,Essence,Aéroport,895.0,3117.87,False,False,False
202,661,2024-10-07,3,Citadine,Essence,Centre-ville,821.0,103.18,False,False,False
203,362,2024-12-21,12,SUV,Hybride,Gare,558.0,360.73,False,False,False
204,3262,2024-04-29,26,Utilitaire,Essence,Aéroport,458.0,1043.85,False,False,False
205,2053,2024-09-02,17,Berline,Essence,Centre-ville,607.0,1086.44,False,False,False
206,4106,2024-11-18,25,Berline,Diesel,Gare,934.0,2162.76,False,False,True
207,2980,2024-10-08,28,Citadine,Diesel,Aéroport,670.0,901.64,False,False,True
208,3402,2024-12-28,15,Citadine,Essence,Aéroport,411.0,1277.85,False,True,False
209,3422,2024-05-09,20,Utilitaire,Hybride,Centre-ville,231.0,2309.6,False,False,False
210,3247,2024-10-16,26,SUV,Hybride,Aéroport,848.0,2170.65,False,True,False
211,98,2024-07-27,11,Citadine,Essence,Centre-ville,,1062.47,False,False,False
212,269,2024-06-14,11,SUV,Diesel,Aéroport,951.0,902.44,False,False,True
213,2566,2024-10-16,22,Citadine,Diesel,Gare,,1097.83,True,False,False
214,824,2024-12-01,13,Citadine,Hybride,Aéroport,,612.68,False,False,True
215,4463,2025-01-28,4,Citadine,Essence,Aéroport,508.0,438.33,False,False,False
216,3476,2024-08-11,17,Citadine,Hybride,Aéroport,558.0,739.6,False,True,False
217,4416,2024-11-06,28,Citadine,Diesel,Centre-ville,74.0,2587.44,False,False,False
218,1889,2024-08-08,1,Citadine,Diesel,Centre-ville,176.0,69.87,False,True,True
219,3111,2024-12-06,26,Utilitaire,Diesel,Aéroport,304.0,1334.44,False,True,False
220,2419,2024-04-12,20,Citadine,Diesel,Aéroport,,1317.78,True,False,False
221,2979,2024-04-10,10,SUV,Essence,Aéroport,244.0,817.76,False,False,True
222,4569,2024-03-12,12,Berline,Diesel,Aéroport,636.0,861.41,False,True,True
223,4153,2024-03-26,19,SUV,Diesel,Gare,518.0,1397.23,False,False,False
224,84,2024-04-05,21,Citadine,Essence,Centre-ville,802.0,838.94,False,True,False
225,673,2024-10-29,5,Citadine,Essence,Centre-ville,832.0,240.36,False,False,True
226,2902,2024-06-24,26,SUV,Diesel,Centre-ville,722.0,1008.7,False,False,False
227,983,2024-05-27,30,SUV,Essence,Aéroport,902.0,2846.12,False,False,False
228,3235,2024-12-07,3,SUV,Électrique,Aéroport,463.0,115.34,False,False,True
229,3346,2024-06-29,19,Citadine,Diesel,Aéroport,485.0,1028.53,False,False,False
230,4589,2024-09-17,1,Citadine,Essence,Gare,530.0,46.48,False,True,False
231,600,2025-01-15,18,Citadine,Hybride,Aéroport,,1029.21,True,False,False
232,4431,2024-04-24,1,SUV,Diesel,Aéroport,622.0,55.71,False,True,True
233,3866,2024-06-22,11,SUV,Hybride,Gare,197.0,421.4,False,False,True
234,2909,2025-02-19,18,Citadine,Diesel,Aéroport,750.0,560.73,False,True,True
235,4714,2024-03-06,3,Citadine,Diesel,Centre-ville,118.0,225.14,False,True,False
236,450,2024-05-21,9,Utilitaire,Essence,Gare,588.0,620.1,True,True,False
237,3926,2024-10-08,7,SUV,Diesel,Gare,881.0,336.26,False,False,True
238,4916,2024-07-13,14,Citadine,Essence,Aéroport,992.0,426.2,False,False,False
239,689,2025-01-05,2,Berline,Hybride,Aéroport,535.0,101.29,False,True,False
240,2861,2024-06-15,14,SUV,Diesel,Aéroport,250.0,901.12,False,False,False
241,1570,2024-05-29,26,Citadine,Essence,Gare,607.0,2457.94,False,False,False
242,483,2024-11-17,2,Citadine,Hybride,Centre-ville,,168.24,False,True,False
243,1312,2024-06-21,23,Utilitaire,Hybride,Aéroport,135.0,1444.74,True,False,True
244,462,2024-05-06,23,Citadine,Hybride,Gare,935.0,2192.2,False,True,True
245,4899,2025-02-03,22,Citadine,Essence,Gare,663.0,2022.06,False,True,True
246,3917,2024-03-30,9,Citadine,Hybride,Aéroport,72.0,691.71,True,True,False
247,3665,2024-02-27,16,Citadine,Hybride,Centre-ville,244.0,1688.15,True,False,True
248,1947,2024-08-01,21,SUV,Diesel,Aéroport,366.0,1222.21,False,False,False
249,4490,2025-01-21,11,Citadine,Essence,Aéroport,245.0,1242.95,False,False,True
250,525,2024-11-13,20,SUV,Diesel,Gare,104.0,2109.26,False,False,True
251,4149,2024-08-24,3,Berline,Diesel,Aéroport,499.0,293.03,False,True,True
252,1577,2025-01-13,29,SUV,Diesel,Aéroport,229.0,1868.05,True,False,True
253,3075,2024-06-24,18,Citadine,Hybride,Aéroport,286.0,738.92,False,False,True
254,4755,2024-07-23,15,Berline,Essence,Gare,110.0,893.47,False,False,True
255,1533,2024-10-31,30,Citadine,Diesel,Gare,178.0,3282.24,False,False,False
256,2220,2024-04-06,15,Citadine,Diesel,Centre-ville,731.0,452.67,False,True,True
257,2526,2024-10-17,14,Utilitaire,Essence,Aéroport,902.0,1601.28,False,False,True
258,4287,2024-11-29,8,Citadine,Diesel,Centre-ville,757.0,431.05,False,False,True
259,3111,2025-02-12,19,Citadine,Essence,Aéroport,456.0,1323.85,False,True,False
260,2799,2024-06-09,7,SUV,Essence,Aéroport,442.0,488.59,False,False,False
261,4283,2024-12-29,3,SUV,Essence,Gare,148.0,267.69,False,False,False
262,4815,2024-09-10,22,SUV,Hybride,Gare,246.0,2284.08,False,False,False
263,4782,2025-02-15,19,Citadine,Essence,Gare,638.0,1953.86,False,True,True
264,4527,2024-04-02,3,SUV,Hybride,Centre-ville,233.0,92.01,False,False,False
265,4893,2024-12-16,2,SUV,Hybride,Gare,204.0,86.73,False,False,False
266,2184,2024-08-22,5,Berline,Électrique,Centre-ville,,554.79,False,True,True
267,2531,2024-08-20,10,SUV,Essence,Aéroport,851.0,718.4,False,False,True
268,164,2024-06-22,28,Berline,Essence,Gare,,926.57,True,False,False
269,2967,2024-04-28,13,Citadine,Hybride,Centre-ville,596.0,771.47,False,False,False
270,86,2024-05-25,1,SUV,Essence,Aéroport,865.0,107.11,False,True,False
271,3744,2024-10-27,11,Citadine,Hybride,Centre-ville,930.0,725.45,False,False,False
272,2982,2024-07-25,19,Utilitaire,Diesel,Aéroport,811.0,1779.06,False,False,False
273,11,2024-10-06,21,SUV,Essence,Centre-ville,89.0,985.04,False,False,False
274,548,2025-02-13,18,Citadine,Essence,Aéroport,975.0,2068.91,False,False,True
275,3721,2024-11-28,29,Berline,Diesel,Centre-ville,71.0,2230.62,False,False,True
276,292,2024-12-11,8,SUV,Essence,Gare,716.0,768.79,False,True,False
277,4037,2024-05-17,17,SUV,Électrique,Aéroport,781.0,1845.84,True,False,True
278,4798,2024-12-10,7,Utilitaire,Diesel,Gare,269.0,430.13,False,False,False
279,4067,2024-11-08,9,SUV,Essence,Aéroport,181.0,362.33,True,False,False
280,477,2024-12-31,22,SUV,Essence,Aéroport,385.0,775.18,False,False,False
281,2012,2024-06-15,27,Berline,Hybride,Centre-ville,104.0,2944.0,False,True,False
282,3453,2025-01-12,10,Citadine,Essence,Aéroport,642.0,368.3,False,False,True
283,2025,2024-03-08,20,SUV,Essence,Aéroport,358.0,1542.19,True,True,True
284,1589,2024-07-10,18,Citadine,Hybride,Aéroport,935.0,1174.93,False,False,False
285,790,2024-12-27,3,SUV,Hybride,Centre-ville,285.0,228.8,True,False,False
286,3053,2024-07-03,17,Citadine,Hybride,Aéroport,549.0,542.23,False,False,True
287,2140,2024-02-29,7,Utilitaire,Diesel,Centre-ville,815.0,399.31,False,False,False
288,1006,2024-09-06,25,Citadine,Hybride,Aéroport,917.0,939.85,False,False,False
289,595,2025-01-24,26,Berline,Diesel,Centre-ville,776.0,2943.03,False,True,True
290,3372,2024-03-30,14,SUV,Diesel,Aéroport,444.0,1435.76,False,False,False
291,1993,2024-11-30,10,Berline,Hybride,Gare,228.0,1093.06,False,False,False
292,4927,2024-03-19,3,Citadine,Hybride,Aéroport,314.0,248.71,False,False,False
293,4122,2024-03-06,20,Citadine,Diesel,Gare,498.0,1001.32,False,False,True
294,3018,2024-09-30,14,Berline,Diesel,Centre-ville,491.0,628.86,False,True,True
295,4270,2024-11-23,22,Utilitaire,Essence,Centre-ville,888.0,664.63,False,False,True
296,1143,2024-11-26,1,Utilitaire,Diesel,Centre-ville,915.0,110.79,True,False,False
297,4343,2024-04-26,10,Berline,Électrique,Aéroport,948.0,510.76,False,True,False
298,1306,2024-04-26,15,Berline,Essence,Centre-ville,657.0,1725.34,False,False,False
299,1029,2024-08-05,27,Berline,Hybride,Aéroport,80.0,2903.38,False,False,False
300,2016,2025-02-07,30,Citadine,Hybride,Aéroport,,2033.77,False,True,False
301,4980,2024-09-19,1,Citadine,Électrique,Centre-ville,698.0,77.56,False,False,False
302,2093,2024-11-15,23,Utilitaire,Hybride,Aéroport,954.0,2259.77,False,False,False
303,922,2024-09-18,12,Utilitaire,Hybride,Aéroport,690.0,765.38,False,True,False
304,3038,2024-06-09,5,Berline,Essence,Aéroport,218.0,177.65,True,False,False
305,3581,2024-07-05,19,Utilitaire,Essence,Aéroport,313.0,609.43,False,False,False
306,1444,2024-08-14,28,SUV,Électrique,Aéroport,646.0,3035.33,False,False,False
307,3274,2024-06-09,17,SUV,Essence,Centre-ville,86.0,2008.81,False,False,True
308,1961,2025-01-09,15,Citadine,Diesel,Centre-ville,276.0,1673.99,False,True,False
309,2472,2024-03-17,7,Citadine,Essence,Centre-ville,632.0,612.2,True,False,False
310,3871,2024-09-10,15,Citadine,Essence,Gare,392.0,750.18,True,False,True
311,4747,2025-01-14,23,SUV,Diesel,Centre-ville,960.0,2701.01,False,False,True
312,4911,2024-05-02,3,SUV,Diesel,Gare,312.0,293.17,False,False,True
313,1247,2024-03-14,20,SUV,Diesel,Aéroport,120.0,1217.86,False,True,False
314,4671,2024-02-29,3,SUV,Électrique,Centre-ville,959.0,215.18,False,False,False
315,2225,2024-03-24,11,Citadine,Essence,Gare,715.0,1302.95,False,False,False
316,3081,2024-03-25,17,Citadine,Essence,Aéroport,171.0,1014.51,False,False,False
317,4143,2024-12-25,23,SUV,Diesel,Aéroport,649.0,1280.86,False,True,False
318,1923,2024-08-26,29,Citadine,Hybride,Gare,910.0,2957.05,False,True,False
319,4797,2024-04-11,12,Utilitaire,Essence,Gare,927.0,1111.19,False,True,False
320,849,2024-04-03,10,Berline,Électrique,Gare,517.0,819.85,False,True,True
321,2444,2024-06-03,28,SUV,Essence,Aéroport,824.0,1253.69,False,True,True
